Client ID,Last purchased date,Item name,last_purchase_stage,Purchased product category,Purchased product subcategory,Purchased coach,Item Total,acquisition_date
100001179,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001179,2025-01-27,10 Lesson Pack ( Aiko H),lesson,lesson,10 lesson,Aiko H,981.0,2024-11-01
100001179,2025-01-27,10 Practice Credits,practice,practice,10 practice,others,156.96,2024-11-01
100001179,2025-03-10,10 Lesson Pack ( Aiko H),lesson,lesson,10 lesson,Aiko H,981.0,2024-11-01
100001179,2025-06-10,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-01
100001180,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001181,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001182,2024-11-01,10 Lesson Pack (Joey Poh.),lesson,lesson,10 lesson,Joey Poh,0.0,2024-11-01
100001182,2024-11-01,50 Practice Credits,practice,practice,50 practice,others,0.0,2024-11-01
100001182,2024-12-13,10 Lesson Pack (Joey Poh.),lesson,lesson,10 lesson,Joey Poh,0.0,2024-11-01
100001182,2025-06-08,10 Lesson Pack (Joey Poh.),lesson,lesson,10 lesson,Joey Poh,981.0,2024-11-01
100001182,2025-06-08,10 Practice Credits,practice,practice,10 practice,others,156.96,2024-11-01
100001182,2025-07-27,25 Practice Credits,practice,practice,25 practice,others,408.75,2024-11-01
100001182,2025-07-27,Golfzon 18 Holes - 2 Pax,play,play,Golfzon,others,130.8,2024-11-01
100001183,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001183,2025-02-25,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-01
100001184,2024-11-01,10 Lesson Pack (Jasper  Park),lesson,lesson,10 lesson,Jasper Park,0.0,2024-11-01
100001184,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001186,2024-10-21,10 Lesson Pack (Kim On You),lesson,lesson,10 lesson,Kim On You,981.0,2024-10-21
100001186,2024-11-01,100 Practice Credits,practice,practice,100 practice,others,0.0,2024-10-21
100001186,2025-03-31,10 Lesson Pack (Son Gunwoo),lesson,lesson,10 lesson,Son Gunwoo,0.0,2024-10-21
100001186,2025-04-28,10 Lesson Pack (Son Gunwoo),lesson,lesson,10 lesson,Son Gunwoo,0.0,2024-10-21
100001186,2025-06-17,10 Practice Credits,practice,practice,10 practice,others,148.24,2024-10-21
100001186,2025-06-17,20 Lesson Pack (Kim On You),lesson,lesson,20 lesson,Kim On You,1853.0,2024-10-21
100001187,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001188,2024-11-01,10 Lesson Pack  (Chun Leekyung),lesson,lesson,10 lesson,Chun Leekyung,0.0,2024-11-01
100001188,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001189,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001190,2024-11-01,10 Lesson Pack (Jasper  Park),lesson,lesson,10 lesson,Jasper Park,0.0,2024-11-01
100001190,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001191,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001191,2025-06-11,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-01
100001192,2024-11-01,20 Lesson Pack (Johnson Poh),lesson,lesson,20 lesson,Johnson Poh,0.0,2024-11-01
100001192,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001193,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001193,2024-12-09,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001193,2025-01-16,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-01
100001193,2025-02-20,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-01
100001193,2025-04-10,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-01
100001193,2025-06-19,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-01
100001194,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001194,2025-04-07,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-01
100001195,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001196,2024-11-01,50 Practice Credits,practice,practice,50 practice,others,0.0,2024-11-01
100001197,2024-11-01,10 Lesson Pack (Joey Poh.),lesson,lesson,10 lesson,Joey Poh,0.0,2024-11-01
100001197,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001198,2024-11-01,100 Practice Credits,practice,practice,100 practice,others,0.0,2024-11-01
100001198,2024-11-01,20 Lesson Pack ( Aiko H),lesson,lesson,20 lesson,Aiko H,0.0,2024-11-01
100001199,2024-11-20,20 Lesson Pack ( Aiko H),lesson,lesson,20 lesson,Aiko H,0.0,2024-11-20
100001199,2024-11-20,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-20
100001200,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001200,2025-08-18,30 Mins Practice Credit,practice,practice,30 mins practice,others,43.6,2024-11-01
100001201,2024-11-01,50 Practice Credits,practice,practice,50 practice,others,0.0,2024-11-01
100001202,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001202,2025-05-29,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-01
100001203,2024-11-01,10 Lesson Pack (Jasper  Park),lesson,lesson,10 lesson,Jasper Park,0.0,2024-11-01
100001203,2024-11-01,50 Practice Credits,practice,practice,50 practice,others,0.0,2024-11-01
100001204,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001204,2024-12-11,10 Semi Private (1:2 Lesson) w/ Johnson Poh,lesson,lesson,10 group lesson,Johnson Poh,0.0,2024-11-01
100001205,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001206,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001206,2025-06-27,Trial Lesson W/ Joey Poh,trial,trial,Trial lesson,Joey Poh,119.9,2024-11-01
100001206,2025-06-29,30 Mins Practice Credit,practice,practice,30 mins practice,others,21.8,2024-11-01
100001206,2025-07-04,Trial Lesson W/ Paul F,trial,trial,Trial lesson,Paul Finch,119.9,2024-11-01
100001206,2025-07-11,10 Lesson Pack (Paul Finch),lesson,lesson,10 lesson,Paul Finch,981.0,2024-11-01
100001207,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001208,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001209,2024-11-01,10 Lesson Pack (Joey Poh.),lesson,lesson,10 lesson,Joey Poh,0.0,2024-11-01
100001210,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001210,2025-02-23,10 Lesson Pack (Joey Poh.),lesson,lesson,10 lesson,Joey Poh,981.0,2024-11-01
100001210,2025-02-23,10 Practice Credits,practice,practice,10 practice,others,156.96,2024-11-01
100001210,2025-04-29,25 Practice Credits,practice,practice,25 practice,others,367.87,2024-11-01
100001210,2025-04-29,5 Semi Private (1:2 Lesson) w/ Joey Poh,lesson,lesson,5 group lesson,Joey Poh,1373.4,2024-11-01
100001210,2025-06-11,10 Lesson Pack (Joey Poh.),lesson,lesson,10 lesson,Joey Poh,981.0,2024-11-01
100001211,2024-11-01,10 Lesson Pack (Jasper  Park),lesson,lesson,10 lesson,Jasper Park,0.0,2024-11-01
100001211,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001212,2024-11-01,10 Lesson Pack (Joey Poh.),lesson,lesson,10 lesson,Joey Poh,0.0,2024-11-01
100001212,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001213,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001213,2024-12-28,Trial Lesson W/ Paul F,trial,trial,Trial lesson,Paul Finch,0.0,2024-11-01
100001213,2025-01-03,10 Lesson Pack (Paul Finch),lesson,lesson,10 lesson,Paul Finch,981.0,2024-11-01
100001213,2025-08-19,Golfzon 9 Holes - 2 Pax,play,play,Golfzon,others,87.2,2024-11-01
100001214,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001214,2025-02-11,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-01
100001214,2025-08-20,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-01
100001215,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001216,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001217,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001217,2025-04-05,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-01
100001218,2024-11-01,10 Lesson Pack (Paul Finch),lesson,lesson,10 lesson,Paul Finch,0.0,2024-11-01
100001218,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001218,2025-04-10,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-01
100001219,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001219,2024-11-01,10 Semi Private (1:2 Lesson) w/ Johnson Poh,lesson,lesson,10 group lesson,Johnson Poh,0.0,2024-11-01
100001220,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001220,2025-03-16,25 Practice Credits,practice,practice,25 practice,others,408.75,2024-11-01
100001220,2025-07-22,25 Practice Credits,practice,practice,25 practice,others,408.75,2024-11-01
100001221,2024-11-01,10 Semi Private (1:2 Lesson) w/ Johnson Poh,lesson,lesson,10 group lesson,Johnson Poh,0.0,2024-11-01
100001221,2024-11-01,100 Practice Credits,practice,practice,100 practice,others,0.0,2024-11-01
100001222,2024-11-01,10 Lesson Pack  (Johnson Poh),lesson,lesson,10 lesson,Johnson Poh,0.0,2024-11-01
100001222,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001223,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001224,2024-11-01,50 Practice Credits,practice,practice,50 practice,others,0.0,2024-11-01
100001225,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001227,2024-12-04,10 Lesson Pack (Jasper  Park),lesson,lesson,10 lesson,Jasper Park,0.0,2024-12-04
100001227,2024-12-04,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-12-04
100001228,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001228,2025-03-08,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-01
100001228,2025-04-05,Trial Lesson w/ Jasper ,trial,trial,Trial lesson,Jasper Park,119.9,2024-11-01
100001229,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001230,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001231,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001231,2025-02-09,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-01
100001231,2025-02-26,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-01
100001231,2025-05-22,30 Mins Practice Credit,practice,practice,30 mins practice,others,21.8,2024-11-01
100001231,2025-08-12,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-01
100001232,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001233,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001233,2025-03-16,10 Practice Credits,practice,practice,10 practice,others,119.9,2024-11-01
100001234,2024-11-15,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-15
100001235,2024-11-01,20 Lesson Pack (Johnson Poh),lesson,lesson,20 lesson,Johnson Poh,0.0,2024-11-01
100001235,2024-12-09,10 Lesson Pack  (Johnson Poh),lesson,lesson,10 lesson,Johnson Poh,0.0,2024-11-01
100001235,2024-12-09,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001236,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001236,2024-11-01,50 Lesson Pack  (Johnson Poh),lesson,lesson,50 lesson,Johnson Poh,0.0,2024-11-01
100001237,2024-11-01,20 Lesson Pack  (Joey Poh),lesson,lesson,20 lesson,Joey Poh,0.0,2024-11-01
100001237,2024-11-01,50 Practice Credits,practice,practice,50 practice,others,0.0,2024-11-01
100001238,2024-11-01,10 Semi Private (1:2 Lesson) w/ Joey Poh,lesson,lesson,10 group lesson,Joey Poh,0.0,2024-11-01
100001238,2025-03-21,5 Semi Private (1:2 Lesson) w/ Joey Poh,lesson,lesson,5 group lesson,Joey Poh,1373.4,2024-11-01
100001238,2025-07-04,5 Semi Private (1:2 Lesson) w/ Joey Poh,lesson,lesson,5 group lesson,Joey Poh,1373.4,2024-11-01
100001239,2024-11-01,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-01
100001241,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001241,2024-11-01,50 Lesson Pack  (Johnson Poh),lesson,lesson,50 lesson,Johnson Poh,0.0,2024-11-01
100001241,2025-02-21,25 Practice Credits,practice,practice,25 practice,others,408.75,2024-11-01
100001242,2024-11-01,10 Lesson Pack (Paul Finch),lesson,lesson,10 lesson,Paul Finch,0.0,2024-11-01
100001242,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001243,2024-11-01,20 Lesson Pack  (Joey Poh),lesson,lesson,20 lesson,Joey Poh,0.0,2024-11-01
100001243,2024-11-01,50 Practice Credits,practice,practice,50 practice,others,0.0,2024-11-01
100001243,2025-03-09,20 Lesson Pack  (Joey Poh),lesson,lesson,20 lesson,Joey Poh,1853.0,2024-11-01
100001243,2025-07-05,20 Lesson Pack  (Joey Poh),lesson,lesson,20 lesson,Joey Poh,1853.0,2024-11-01
100001243,2025-07-05,25 Practice Credits,practice,practice,25 practice,others,347.44,2024-11-01
100001244,2024-11-01,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-01
100001244,2025-02-16,25 Practice Credits,practice,practice,25 practice,others,408.75,2024-11-01
100001244,2025-05-31,10 Lesson Pack (Paul Finch),lesson,lesson,10 lesson,Paul Finch,981.0,2024-11-01
100001244,2025-05-31,25 Practice Credits,practice,practice,25 practice,others,367.87,2024-11-01
100001244,2025-05-31,Trial Lesson W/ Paul F,trial,trial,Trial lesson,Paul Finch,119.9,2024-11-01
100001246,2024-11-10,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-10
100001247,2024-11-04,10 Lesson Pack ( Aiko H),lesson,lesson,10 lesson,Aiko H,0.0,2024-11-04
100001247,2024-11-04,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-04
100001247,2025-07-03,Golfzon 9 Holes - 2 Pax,play,play,Golfzon,others,87.2,2024-11-04
100001248,2024-11-04,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-04
100001249,2024-11-04,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-04
100001249,2025-05-14,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-04
100001250,2024-11-04,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-04
100001250,2025-03-16,30 Mins Practice Credit,practice,practice,30 mins practice,others,21.8,2024-11-04
100001251,2024-11-04,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-04
100001251,2025-07-25,Golfzon 18 Holes - 4 Pax,play,play,Golfzon,others,130.8,2024-11-04
100001251,2025-08-04,Golfzon 18 Holes - 2 Pax,play,play,Golfzon,others,65.4,2024-11-04
100001252,2024-11-04,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-04
100001253,2024-11-04,100 Practice Credits,practice,practice,100 practice,others,0.0,2024-11-04
100001254,2024-11-04,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-04
100001254,2025-01-26,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-04
100001254,2025-08-22,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-04
100001255,2024-11-04,10 Lesson Pack (Paul Finch),lesson,lesson,10 lesson,Paul Finch,0.0,2024-11-04
100001255,2024-11-04,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-04
